,time_period_start,time_period_end,time_open,time_close,price_open,price_high,price_low,price_close,volume_traded,trades_count
88,2022-03-31T00:00:00.0000000Z,2022-04-01T00:00:00.0000000Z,2022-03-31T00:00:01.6900000Z,2022-03-31T23:59:58.9100000Z,0.071934,0.072569,0.07149,0.072103,94946.71119999999,179731
89,2022-04-01T00:00:00.0000000Z,2022-04-02T00:00:00.0000000Z,2022-04-01T00:00:00.4760000Z,2022-04-01T23:59:59.1930000Z,0.072103,0.074894,0.072036,0.07466,104800.5783,212943
90,2022-04-02T00:00:00.0000000Z,2022-04-03T00:00:00.0000000Z,2022-04-02T00:00:02.6400000Z,2022-04-02T23:59:57.7900000Z,0.074658,0.075851,0.074336,0.075165,82187.6293,144499
91,2022-04-03T00:00:00.0000000Z,2022-04-04T00:00:00.0000000Z,2022-04-03T00:00:00.8760000Z,2022-04-03T23:59:57.0230000Z,0.075176,0.075961,0.074867,0.075886,61026.15119999999,108362
92,2022-04-04T00:00:00.0000000Z,2022-04-05T00:00:00.0000000Z,2022-04-04T00:00:00.8820000Z,2022-04-04T23:59:59.4660000Z,0.075889,0.076196,0.074941,0.075549,83324.92390000001,152006
93,2022-04-05T00:00:00.0000000Z,2022-04-06T00:00:00.0000000Z,2022-04-05T00:00:00.6640000Z,2022-04-05T23:59:57.6070000Z,0.075549,0.075687,0.07472,0.074878,67838.89390000002,127309
94,2022-04-06T00:00:00.0000000Z,2022-04-07T00:00:00.0000000Z,2022-04-06T00:00:01.0510000Z,2022-04-06T23:59:59.9570000Z,0.074879,0.07491,0.073103,0.073398,118161.74239999999,203620
95,2022-04-07T00:00:00.0000000Z,2022-04-08T00:00:00.0000000Z,2022-04-07T00:00:00.0330000Z,2022-04-07T23:59:59.8910000Z,0.073398,0.074551,0.073267,0.07429,81623.86539999998,146327
96,2022-04-08T00:00:00.0000000Z,2022-04-09T00:00:00.0000000Z,2022-04-08T00:00:00.2630000Z,2022-04-08T23:59:59.9130000Z,0.074289,0.076,0.074207,0.075549,96005.40169999999,167165
97,2022-04-09T00:00:00.0000000Z,2022-04-10T00:00:00.0000000Z,2022-04-09T00:00:00.0490000Z,2022-04-09T23:59:56.0510000Z,0.075546,0.07658,0.07539,0.076215,42106.2625,92681
