time_period_start,time_period_end,time_open,time_close,price_open,price_high,price_low,price_close,volume_traded,trades_count,trend_date,bitcoin,ethereum,xrp,bitcoin_crash,bitcoin_trust
2/18/2022 0:01,2/19/2022 0:01,2/18/2022 0:01,2/18/2022 23:59,0.071371,0.072,0.069,0.07,55273.296,144561,2/18/2022,35,37,58,6,39
2/19/2022 0:01,2/20/2022 0:01,2/19/2022 0:01,2/19/2022 23:59,0.069527,0.07,0.068,0.069,42237.783,109914,2/19/2022,34,37,59,7,67
2/20/2022 0:01,2/21/2022 0:01,2/20/2022 0:01,2/20/2022 23:59,0.068956,0.07,0.067,0.068,51213.693,144194,2/20/2022,30,34,47,7,0
2/21/2022 0:01,2/22/2022 0:01,2/21/2022 0:01,2/21/2022 23:59,0.068294,0.07,0.068,0.069,70361.069,204039,2/21/2022,32,36,50,10,0
2/22/2022 0:01,2/23/2022 0:01,2/22/2022 0:01,2/22/2022 23:59,0.069394,0.07,0.068,0.069,56003.195,176294,2/22/2022,33,36,50,7,0
2/23/2022 0:01,2/24/2022 0:01,2/23/2022 0:01,2/23/2022 23:59,0.068965,0.071,0.069,0.069,51210.796,193638,2/23/2022,41,39,47,7,54
2/24/2022 0:01,2/25/2022 0:01,2/24/2022 0:01,2/24/2022 23:59,0.069249,0.07,0.067,0.068,115117.232,374978,2/24/2022,33,37,49,5,56
2/25/2022 0:01,2/26/2022 0:01,2/25/2022 0:01,2/25/2022 23:59,0.067756,0.072,0.067,0.071,75415.182,268473,2/25/2022,61,52,48,28,0
2/26/2022 0:01,2/27/2022 0:01,2/26/2022 0:01,2/26/2022 23:59,0.070587,0.072,0.071,0.071,57587.522,231465,2/26/2022,42,35,44,14,57
2/27/2022 0:01,2/28/2022 0:01,2/27/2022 0:01,2/27/2022 23:59,0.071055,0.072,0.069,0.069,72293.278,269391,2/27/2022,31,33,48,6,48
2/28/2022 0:01,3/1/2022 0:01,2/28/2022 0:01,2/28/2022 23:59,0.06942,0.07,0.067,0.068,87557.356,272161,2/28/2022,31,30,50,6,47
3/1/2022 0:01,3/2/2022 0:01,3/1/2022 0:01,3/1/2022 23:59,0.067672,0.068,0.066,0.067,81716.69,262035,3/1/2022,40,38,55,0,41
3/2/2022 0:01,3/3/2022 0:01,3/2/2022 0:01,3/2/2022 23:59,0.066998,0.068,0.066,0.067,74963.359,230242,3/2/2022,43,40,46,0,46
3/3/2022 0:01,3/4/2022 0:01,3/3/2022 0:01,3/3/2022 23:59,0.067144,0.067,0.066,0.067,69846.193,158171,3/3/2022,36,34,44,0,46
3/4/2022 0:01,3/5/2022 0:01,3/4/2022 0:01,3/4/2022 23:59,0.066755,0.067,0.065,0.067,86923.957,190999,3/4/2022,37,31,46,5,61
3/5/2022 0:01,3/6/2022 0:01,3/5/2022 0:01,3/5/2022 23:59,0.066983,0.068,0.067,0.068,57473.56,118154,3/5/2022,31,31,42,0,41
3/6/2022 0:01,3/7/2022 0:01,3/6/2022 0:01,3/6/2022 23:59,0.067655,0.068,0.066,0.066,58409.601,130859,3/6/2022,27,27,41,0,0
3/7/2022 0:01,3/8/2022 0:01,3/7/2022 0:01,3/7/2022 23:59,0.066396,0.068,0.065,0.066,85941.679,183000,3/7/2022,26,24,46,0,43
3/8/2022 0:01,3/9/2022 0:01,3/8/2022 0:01,3/8/2022 23:59,0.065575,0.067,0.065,0.067,75257.484,172085,3/8/2022,32,32,44,0,48
3/9/2022 0:01,3/10/2022 0:01,3/9/2022 0:01,3/9/2022 23:59,0.06651,0.067,0.064,0.065,92243.817,192468,3/9/2022,34,30,51,0,39
3/10/2022 0:01,3/11/2022 0:01,3/10/2022 0:01,3/10/2022 23:59,0.065016,0.067,0.065,0.066,74734.865,171213,3/10/2022,39,36,47,0,45
3/11/2022 0:01,3/12/2022 0:01,3/11/2022 0:01,3/11/2022 23:59,0.066123,0.067,0.066,0.066,74581.634,170725,3/11/2022,35,32,64,0,0
3/12/2022 0:01,3/13/2022 0:01,3/12/2022 0:01,3/12/2022 23:59,0.066016,0.067,0.066,0.066,36026.165,84531,3/12/2022,30,27,77,0,0
3/13/2022 0:01,3/14/2022 0:01,3/13/2022 0:01,3/13/2022 23:59,0.066197,0.067,0.066,0.067,46674.52,106077,3/13/2022,26,24,51,0,47
3/14/2022 0:01,3/15/2022 0:01,3/14/2022 0:01,3/14/2022 23:59,0.066588,0.067,0.065,0.065,77540.281,165592,3/14/2022,24,23,50,7,0
3/15/2022 0:01,3/16/2022 0:01,3/15/2022 0:01,3/15/2022 23:59,0.065276,0.067,0.065,0.067,73886.558,164876,3/15/2022,30,28,45,0,0
