time_period_start,time_period_end,time_open,time_close,price_open,price_high,price_low,price_close,fng_classification,fng,trend_date,bitcoin,ethereum,xrp,bitcoin_crash,bitcoin_trust
3/24/2022 0:01,3/25/2022 0:01,3/24/2022 0:01,3/24/2022 23:59,0.0708,0.071,0.07,0.071,40,Fear,3/24/2022,26,34,55,0,47
3/25/2022 0:01,3/26/2022 0:01,3/25/2022 0:01,3/25/2022 23:59,0.07072,0.071,0.07,0.07,47,Neutral,3/25/2022,28,38,44,0,76
3/26/2022 0:01,3/27/2022 0:01,3/26/2022 0:01,3/26/2022 23:59,0.070011,0.071,0.07,0.071,51,Neutral,3/26/2022,27,32,41,0,49
3/27/2022 0:01,3/28/2022 0:01,3/27/2022 0:01,3/27/2022 23:59,0.070652,0.071,0.07,0.07,49,Neutral,3/27/2022,23,28,46,0,0
3/28/2022 0:01,3/29/2022 0:01,3/28/2022 0:01,3/28/2022 23:59,0.070377,0.071,0.07,0.071,60,Greed,3/28/2022,27,32,61,0,0
3/29/2022 0:01,3/30/2022 0:01,3/29/2022 0:01,3/29/2022 23:59,0.07073,0.073,0.071,0.072,56,Greed,3/29/2022,32,38,49,5,54
3/30/2022 0:01,3/31/2022 0:01,3/30/2022 0:01,3/30/2022 23:59,0.071693,0.072,0.071,0.072,55,Greed,3/30/2022,29,37,49,7,38
3/31/2022 0:01,4/1/2022 0:01,3/31/2022 0:01,3/31/2022 23:59,0.071934,0.073,0.071,0.072,52,Neutral,3/31/2022,29,36,48,5,68
4/1/2022 0:01,4/2/2022 0:01,4/1/2022 0:01,4/1/2022 23:59,0.072103,0.075,0.072,0.075,50,Neutral,4/1/2022,26,30,46,5,60
4/2/2022 0:01,4/3/2022 0:01,4/2/2022 0:01,4/2/2022 23:59,0.074658,0.076,0.074,0.075,52,Neutral,4/2/2022,26,31,46,6,49
4/3/2022 0:01,4/4/2022 0:01,4/3/2022 0:01,4/3/2022 23:59,0.075176,0.076,0.075,0.076,48,Neutral,4/3/2022,24,31,42,0,47
4/4/2022 0:01,4/5/2022 0:01,4/4/2022 0:01,4/4/2022 23:59,0.075889,0.076,0.075,0.076,52,Neutral,4/4/2022,23,30,44,0,0
4/5/2022 0:01,4/6/2022 0:01,4/5/2022 0:01,4/5/2022 23:59,0.075549,0.076,0.075,0.075,53,Neutral,4/5/2022,24,30,43,4,34
4/6/2022 0:01,4/7/2022 0:01,4/6/2022 0:01,4/6/2022 23:59,0.074879,0.075,0.073,0.073,48,Neutral,4/6/2022,24,29,45,0,36
4/7/2022 0:01,4/8/2022 0:01,4/7/2022 0:01,4/7/2022 23:59,0.073398,0.075,0.073,0.074,34,Fear,4/7/2022,27,32,37,5,0
4/8/2022 0:01,4/9/2022 0:01,4/8/2022 0:01,4/8/2022 23:59,0.074289,0.076,0.074,0.076,37,Fear,4/8/2022,27,27,43,0,45
4/9/2022 0:01,4/10/2022 0:01,4/9/2022 0:01,4/9/2022 23:59,0.075546,0.077,0.075,0.076,30,Fear,4/9/2022,26,26,41,5,33
4/10/2022 0:01,4/11/2022 0:01,4/10/2022 0:01,4/10/2022 23:59,0.076215,0.077,0.076,0.076,34,Fear,4/10/2022,23,24,38,0,48
4/11/2022 0:01,4/12/2022 0:01,4/11/2022 0:01,4/11/2022 23:59,0.075973,0.076,0.073,0.075,32,Fear,4/11/2022,24,25,43,0,0
4/12/2022 0:01,4/13/2022 0:01,4/12/2022 0:01,4/12/2022 23:59,0.075379,0.076,0.075,0.076,20,Extreme Fear,4/12/2022,31,30,43,6,47
4/13/2022 0:01,4/14/2022 0:01,4/13/2022 0:01,4/13/2022 23:59,0.075546,0.076,0.075,0.076,25,Extreme Fear,4/13/2022,27,30,43,0,0
4/14/2022 0:01,4/15/2022 0:01,4/14/2022 0:01,4/14/2022 23:59,0.075789,0.076,0.075,0.076,28,Fear,4/14/2022,26,25,45,0,55
4/15/2022 0:01,4/16/2022 0:01,4/15/2022 0:01,4/15/2022 23:59,0.075658,0.076,0.075,0.075,22,Extreme Fear,4/15/2022,25,27,57,0,52
4/16/2022 0:01,4/17/2022 0:01,4/16/2022 0:01,4/16/2022 23:59,0.074984,0.076,0.075,0.076,28,Fear,4/16/2022,23,24,49,0,50
4/17/2022 0:01,4/18/2022 0:01,4/17/2022 0:01,4/17/2022 23:59,0.075766,0.076,0.075,0.075,28,Fear,4/17/2022,21,23,42,0,0
4/18/2022 0:01,4/19/2022 0:01,4/18/2022 0:01,4/18/2022 23:59,0.075301,0.075,0.074,0.075,24,Extreme Fear,4/18/2022,21,23,46,0,0
4/19/2022 0:01,4/20/2022 0:01,4/19/2022 0:01,4/19/2022 23:59,0.074891,0.075,0.074,0.075,27,Fear,4/19/2022,25,28,45,12,0
4/20/2022 0:01,4/21/2022 0:01,4/20/2022 0:01,4/20/2022 23:59,0.07476,0.075,0.074,0.074,27,Fear,4/20/2022,22,25,42,0,50
4/21/2022 0:01,4/22/2022 0:01,4/21/2022 0:01,4/21/2022 23:59,0.074385,0.074,0.073,0.074,27,Fear,4/21/2022,21,25,38,0,0
4/22/2022 0:01,4/23/2022 0:01,4/22/2022 0:01,4/22/2022 23:59,0.073707,0.075,0.074,0.075,26,Fear,4/22/2022,21,23,34,0,39
